7,0,1.000211,1.0002110004425049,4660473688,37275924267.48478,0,8492520,25,24,1500,false
7,1.000211,2.000111,0.9998999834060669,4629463040,37039408875.51702,0,8492520,76,98,1500,false
7,2.000111,3.000013,0.9999020099639893,5096079360,40772630191.50072,0,8492520,71,83,1500,false
7,3.000013,4.00011,1.0000970363616943,5086904320,40691286025.651405,0,8492520,51,36,1500,false
7,4.00011,5.000084,0.9999740123748779,5046272000,40371225152.26498,0,8492520,25,2,1500,false
7,5.000084,6.000078,0.9999939799308777,5096079360,40768880311.477516,0,8492520,24,4,1500,false
7,6.000078,7.000157,1.0000790357589722,5118361600,40943656787.01074,0,8492520,32,13,1500,false
7,7.000157,8.00008,0.9999229907989502,5174722560,41400968735.52501,0,8492520,32,18,1500,false
7,8.00008,9.000133,1.00005304813385,5156372480,41248791668.57841,0,8492520,34,19,1500,false
7,9.000133,10.000039,0.9999060034751892,5068554240,40552245690.16815,0,8492520,72,88,1500,false
