5 0 1 0.262375 2.09692 0 56.5625 309629 12757 1500 false
5 1 2 1.49554 11.9697 0 390.281 311040 3833 1500 false
5 2 3 11.9885 95.9529 0 3122.25 392352 3029 1500 false
5 3 4 8.75 69.9652 0 6682.86 621220 8088 1500 false
5 4 5 10 80.0271 0 7167.88 695498 754 1500 false
5 5 6 10 79.9524 0 7696.74 695650 1881 1500 false
5 6 7 8.75 70.0407 0 8160.55 836833 437 1500 false
5 7 8 10 80.0149 0 8420.74 796065 321 1500 false
5 8 9 11.25 89.9655 0 8420.74 761872 639 1500 false
5 9 10 8.75 70.0252 0 8420.74 892292 1259 1500 false
