2 201
3 201
4 202
5 202
6 201
7 201
8 201
9 200
10 201
11 201
12 201
13 201
14 201
15 201
16 202
17 201
18 201
19 202
20 201
21 200
22 201
23 200
24 201
25 202
26 202
27 201
28 201
29 200
30 201
31 201
32 201
33 201
34 201
35 202
36 200
37 201
38 201
39 201
40 201
41 201
42 201
43 202
44 201
45 201
46 201
47 201
48 201
49 202
50 201
51 201
52 201
53 201
54 202
55 202
56 201
57 201
58 202
59 201
60 201
61 200
62 202
63 201
64 201
65 200
66 201
67 201
68 201
69 200
70 201
71 201
72 201
73 201
74 201
75 201
76 202
77 201
78 201
79 201
80 201
81 201
82 201
83 201
84 201
85 201
86 201
87 201
88 201
89 201
90 201
91 201
92 202
93 201
94 201
95 201
96 201
97 201
98 201
99 201
100 200
